StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,comp_acc,comp_rel,pair1_rel_c,pair1_conf_c,pair2_rel_c,pair2_conf_c,pair3_rel_c,pair3_conf_c,pair4_rel_c,pair4_conf_c,Q159,Q160,Q162,Q163,pair5_rel_c,pair5_conf_c,pair6_rel_c,pair6_conf_c,Q156,Q157,Q165,Q166,Q168,Q169,Q171,Q172,ed_level,political_affiliatio,political_affiliatio_4_TEXT,gender,gender_5_TEXT,Comprehension,Free-form feedback,Random ID,Create New Field or Choose From Dropdown...
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Your task is to determine the accuracy of the news article.,Your task is to determine if the fact-check is relevant to the news article.,Is the fact-check relevant to the news article claim?,How confident are you in your assessment of the relevance?,Is the fact-check relevant to the news article claim?,How confident are you in your assessment of the relevance?,Is the fact-check relevant to the news article claim?,How confident are you in your assessment of the relevance?,Is the fact-check relevant to the news article claim?,How confident are you in your assessment of the relevance?,Is the fact-check relevant to the news article claim?,How confident are you in your assessment of the relevance?,Is the fact-check relevant to the news article claim?,How confident are you in your assessment of the relevance?,Is the fact-check relevant to the news article claim?,How confident are you in your assessment of the relevance?,Is the fact-check relevant to the news article claim?,How confident are you in your assessment of the relevance?,Is the fact-check relevant to the news article claim?,How confident are you in your assessment of the relevance?,Is the fact-check relevant to the news article claim?,How confident are you in your assessment of the relevance?,Is the fact-check relevant to the news article claim?,How confident are you in your assessment of the relevance?,Is the fact-check relevant to the news article claim?,How confident are you in your assessment of the relevance?,What is the highest level of school you have completed or the highest degree you have received?,"Generally speaking, do you usually think of yourself as a Republican, a Democrat, an Independent, or something else? - Selected Choice","Generally speaking, do you usually think of yourself as a Republican, a Democrat, an Independent, or something else? - Other - Text",What best describes your gender identity? - Selected Choice,What best describes your gender identity? - Prefer to self-describe - Text,Did you understand the instructions in this survey?,This was a pilot survey and we would love to hear some feedback so we can improve in the future. Please put any additional comments in the box below.,Random ID,Create New Field or Choose From Dropdown...
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID106""}","{""ImportId"":""QID128""}","{""ImportId"":""QID132""}","{""ImportId"":""QID133""}","{""ImportId"":""QID135""}","{""ImportId"":""QID136""}","{""ImportId"":""QID138""}","{""ImportId"":""QID139""}","{""ImportId"":""QID141""}","{""ImportId"":""QID142""}","{""ImportId"":""QID159""}","{""ImportId"":""QID160""}","{""ImportId"":""QID162""}","{""ImportId"":""QID163""}","{""ImportId"":""QID144""}","{""ImportId"":""QID145""}","{""ImportId"":""QID147""}","{""ImportId"":""QID148""}","{""ImportId"":""QID156""}","{""ImportId"":""QID157""}","{""ImportId"":""QID165""}","{""ImportId"":""QID166""}","{""ImportId"":""QID168""}","{""ImportId"":""QID169""}","{""ImportId"":""QID171""}","{""ImportId"":""QID172""}","{""ImportId"":""QID123""}","{""ImportId"":""QID124""}","{""ImportId"":""QID124_4_TEXT""}","{""ImportId"":""QID125""}","{""ImportId"":""QID125_5_TEXT""}","{""ImportId"":""QID130""}","{""ImportId"":""QID129_TEXT""}","{""ImportId"":""Random ID""}","{""ImportId"":""Create New Field or Choose From Dropdown...""}"
2019-12-05 20:09:40,2019-12-05 20:12:27,IP Address,100,167,True,2019-12-05 20:12:28,R_oY3mi3t17aYLunf,anonymous,EN,No,Yes,No,Moderately confident,Yes,Extremely confident,Yes,Very confident,No,Very confident,Yes,Moderately confident,Yes,Extremely confident,Yes,Moderately confident,Yes,Extremely confident,Yes,Moderately confident,Yes,Moderately confident,Yes,Moderately confident,No,Extremely confident,High school graduate (high school diploma or equivalent including GED),Independent,,Male,,Yes,,60890,
2019-12-05 20:11:58,2019-12-05 20:13:51,IP Address,100,113,True,2019-12-05 20:13:52,R_2WxqvkIT6BqB889,anonymous,EN,Yes,No,Yes,Moderately confident,Yes,Moderately confident,No,Slightly confident,Yes,Moderately confident,Yes,Moderately confident,Yes,Extremely confident,Yes,Very confident,No,Very confident,No,Very confident,Yes,Slightly confident,No,Moderately confident,No,Slightly confident,Some college but no degree,Democrat,,Male,,Yes,,23664,
2019-12-05 20:09:28,2019-12-05 20:14:40,IP Address,100,311,True,2019-12-05 20:14:41,R_3lMutgEILAr8A8Q,anonymous,EN,No,Yes,Yes,Extremely confident,Yes,Extremely confident,Yes,Extremely confident,Yes,Extremely confident,Yes,Extremely confident,Yes,Extremely confident,No,Moderately confident,Yes,Extremely confident,Yes,Very confident,Yes,Extremely confident,Yes,Very confident,Yes,Very confident,Bachelor's degree in college (4-year),Democrat,,Male,,Yes,,83560,
2019-12-05 20:11:13,2019-12-05 20:14:55,IP Address,100,221,True,2019-12-05 20:14:55,R_2qlctYOCYgmQamV,anonymous,EN,No,Yes,No,Moderately confident,Yes,Moderately confident,Yes,Very confident,No,Very confident,Yes,Very confident,Yes,Very confident,Yes,Moderately confident,Yes,Extremely confident,No,Moderately confident,No,Very confident,No,Very confident,No,Extremely confident,Bachelor's degree in college (4-year),Democrat,,Male,,Yes,,35488,
2019-12-05 20:11:58,2019-12-05 20:15:59,IP Address,100,241,True,2019-12-05 20:15:59,R_3khKdA8FTMlzT5c,anonymous,EN,No,Yes,Yes,Very confident,Yes,Very confident,Yes,Extremely confident,No,Slightly confident,Yes,Slightly confident,Yes,Moderately confident,Yes,Extremely confident,Yes,Very confident,No,Very confident,Yes,Slightly confident,No,Very confident,No,Extremely confident,Bachelor's degree in college (4-year),Democrat,,Female,,Yes,,13499,
2019-12-05 20:09:22,2019-12-05 20:18:09,IP Address,100,526,True,2019-12-05 20:18:09,R_2S2pfg9IEVss9iI,anonymous,EN,No,Yes,Yes,Very confident,Yes,Extremely confident,Yes,Extremely confident,No,Extremely confident,Yes,Moderately confident,Yes,Moderately confident,Yes,Very confident,No,Moderately confident,Yes,Very confident,Yes,Very confident,No,Slightly confident,No,Extremely confident,Associate degree in college (2-year),Democrat,,Male,,Yes,,11607,
2019-12-05 20:19:17,2019-12-05 20:19:51,IP Address,100,34,True,2019-12-05 20:19:51,R_3dSKp75PCb8OVVX,anonymous,EN,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-05 20:20:04,2019-12-05 20:21:42,IP Address,100,98,True,2019-12-05 20:21:43,R_3FRkO4YfKlbTzn7,anonymous,EN,No,Yes,Yes,Very confident,Yes,Very confident,Yes,Moderately confident,No,Very confident,Yes,Moderately confident,Yes,Moderately confident,Yes,Slightly confident,No,Moderately confident,Yes,Moderately confident,Yes,Moderately confident,Yes,Very confident,Yes,Moderately confident,Bachelor's degree in college (4-year),Democrat,,Male,,Yes,none,54882,
