StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,comp_acc,comp_rel,pair1_rel_c,pair1_conf_c,pair2_rel_c,pair2_conf_c,pair3_rel_c,pair3_conf_c,pair4_rel_c,pair4_conf_c,pair5_rel_c,pair5_conf_c,pair6_rel_c,pair6_conf_c,pair7_rel_c,pair7_conf_c,pair8_rel_c,pair8_conf_c,pair9_rel_c,pair9_conf_c,pair10_rel_c,pair10_conf_c,pair11_rel_c,pair11_conf_c,pair12_rel_c,pair12_conf_c,ed_level,political_affiliatio,political_affiliatio_4_TEXT,gender,gender_5_TEXT,Comprehension,Free-form feedback,Random ID,Create New Field or Choose From Dropdown...
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Your task is to determine the accuracy of the news article.,Your task is to determine if the fact-check is relevant to the news article.,Is the fact-check relevant to the news article claim?,How confident are you in your assessment of the relevance?,Is the fact-check relevant to the news article claim?,How confident are you in your assessment of the relevance?,Is the fact-check relevant to the news article claim?,How confident are you in your assessment of the relevance?,Is the fact-check relevant to the news article claim?,How confident are you in your assessment of the relevance?,Is the fact-check relevant to the news article claim?,How confident are you in your assessment of the relevance?,Is the fact-check relevant to the news article claim?,How confident are you in your assessment of the relevance?,Is the fact-check relevant to the news article claim?,How confident are you in your assessment of the relevance?,Is the fact-check relevant to the news article claim?,How confident are you in your assessment of the relevance?,Is the fact-check relevant to the news article claim?,How confident are you in your assessment of the relevance?,Is the fact-check relevant to the news article claim?,How confident are you in your assessment of the relevance?,Is the fact-check relevant to the news article claim?,How confident are you in your assessment of the relevance?,Is the fact-check relevant to the news article claim?,How confident are you in your assessment of the relevance?,What is the highest level of school you have completed or the highest degree you have received?,"Generally speaking, do you usually think of yourself as a Republican, a Democrat, an Independent, or something else? - Selected Choice","Generally speaking, do you usually think of yourself as a Republican, a Democrat, an Independent, or something else? - Other - Text",What best describes your gender identity? - Selected Choice,What best describes your gender identity? - Prefer to self-describe - Text,Did you understand the instructions in this survey?,This was a pilot survey and we would love to hear some feedback so we can improve in the future. Please put any additional comments in the box below.,Random ID,Create New Field or Choose From Dropdown...
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID106""}","{""ImportId"":""QID128""}","{""ImportId"":""QID132""}","{""ImportId"":""QID133""}","{""ImportId"":""QID135""}","{""ImportId"":""QID136""}","{""ImportId"":""QID138""}","{""ImportId"":""QID139""}","{""ImportId"":""QID141""}","{""ImportId"":""QID142""}","{""ImportId"":""QID159""}","{""ImportId"":""QID160""}","{""ImportId"":""QID162""}","{""ImportId"":""QID163""}","{""ImportId"":""QID144""}","{""ImportId"":""QID145""}","{""ImportId"":""QID147""}","{""ImportId"":""QID148""}","{""ImportId"":""QID156""}","{""ImportId"":""QID157""}","{""ImportId"":""QID165""}","{""ImportId"":""QID166""}","{""ImportId"":""QID168""}","{""ImportId"":""QID169""}","{""ImportId"":""QID171""}","{""ImportId"":""QID172""}","{""ImportId"":""QID123""}","{""ImportId"":""QID124""}","{""ImportId"":""QID124_4_TEXT""}","{""ImportId"":""QID125""}","{""ImportId"":""QID125_5_TEXT""}","{""ImportId"":""QID130""}","{""ImportId"":""QID129_TEXT""}","{""ImportId"":""Random ID""}","{""ImportId"":""Create New Field or Choose From Dropdown...""}"
12/5/19 20:09,12/5/19 20:12,0,100,167,1,12/5/19 20:12,R_oY3mi3t17aYLunf,anonymous,EN,24,23,2,3,1,1,1,2,2,2,1,3,1,1,1,3,1,1,1,3,1,3,1,3,2,1,2,3,,2,,16,,60890,
12/5/19 20:11,12/5/19 20:13,0,100,113,1,12/5/19 20:13,R_2WxqvkIT6BqB889,anonymous,EN,23,24,1,3,1,3,2,4,1,3,1,3,1,1,1,2,2,2,2,2,1,4,2,3,2,4,3,2,,2,,16,,23664,
12/5/19 20:09,12/5/19 20:14,0,100,311,1,12/5/19 20:14,R_3lMutgEILAr8A8Q,anonymous,EN,24,23,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,2,1,1,1,2,1,2,5,2,,2,,16,,83560,
12/5/19 20:11,12/5/19 20:14,0,100,221,1,12/5/19 20:14,R_2qlctYOCYgmQamV,anonymous,EN,24,23,2,3,1,3,1,2,2,2,1,2,1,2,1,3,1,1,2,3,2,2,2,2,2,1,5,2,,2,,16,,35488,
12/5/19 20:11,12/5/19 20:15,0,100,241,1,12/5/19 20:15,R_3khKdA8FTMlzT5c,anonymous,EN,24,23,1,2,1,2,1,1,2,4,1,4,1,3,1,1,1,2,2,2,1,4,2,2,2,1,5,2,,1,,16,,13499,
12/5/19 20:09,12/5/19 20:18,0,100,526,1,12/5/19 20:18,R_2S2pfg9IEVss9iI,anonymous,EN,24,23,1,2,1,1,1,1,2,1,1,3,1,3,1,2,2,3,1,2,1,2,2,4,2,1,4,2,,2,,16,,11607,
12/5/19 20:19,12/5/19 20:19,0,100,34,1,12/5/19 20:19,R_3dSKp75PCb8OVVX,anonymous,EN,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/5/19 20:20,12/5/19 20:21,0,100,98,1,12/5/19 20:21,R_3FRkO4YfKlbTzn7,anonymous,EN,24,23,1,2,1,2,1,3,2,2,1,3,1,3,1,4,2,3,1,3,1,3,1,2,1,3,5,2,,2,,16,none,54882,
12/5/19 20:16,12/5/19 20:22,0,100,355,1,12/5/19 20:22,R_3HOBE7jJ5SCn7IG,anonymous,EN,24,23,1,4,1,3,1,3,2,3,2,3,1,4,2,5,1,4,1,4,1,3,1,4,2,4,3,4,libertarian,1,,16,,87024,
